79	43		Scrivo in Vento for Flute		1991	Scrivo in Vento for Flute  (1991)
81	44		Carmen - Fantaisie brillante		1876	Carmen - Fantaisie brillante  (1876)
83	45		Mexican Dances		1974	Mexican Dances  (1974)
84	46		Chant de Linos		1944	Chant de Linos  (1944)
85	47		Sonata in B minor	S. 178	1853	Sonata in B minor S. 178 (1853)
89	47		Tarentella, “Venezia e Napoli” for solo piano			Tarentella, “Venezia e Napoli” for solo piano  ()
110	47		Consolation No. III in D flat minor			Consolation No. III in D flat minor  ()
124	47		Les Jeux d'Eau à la Villa d'Este		1877	Les Jeux d'Eau à la Villa d'Este  (1877)
125	47		Funérailles, October 1849		1849	Funérailles, October 1849  (1849)
144	47		Orpheus	S. 98	1854	Orpheus S. 98 (1854)
87	48		Polonaise Brillante for cello and piano	Op. 3		Polonaise Brillante for cello and piano Op. 3 ()
108	48		Mazurka in A minor	Op. 17 No. 4		Mazurka in A minor Op. 17 No. 4 ()
109	48		Ballade in G minor	Op. 23		Ballade in G minor Op. 23 ()
88	49		Bachianas Brasilieras No. 5 for cello and piano			Bachianas Brasilieras No. 5 for cello and piano  ()
96	50		Serenade for string trio		1902	Serenade for string trio  (1902)
99	51		Holding a Daisy		1996	Holding a Daisy  (1996)
100	51		Throbbing Still from "No Longer Very Clear"		2000	Throbbing Still from "No Longer Very Clear"  (2000)
103	51		Trio Cavany		2007	Trio Cavany  (2007)
92	52		Brandenburg Interstices		2012	Brandenburg Interstices  (2012)
97	55		Sonata No. 3 for violin and piano		1914–1917	Sonata No. 3 for violin and piano  (1914–1917)
111	56		Rigoletto: Paraphrase			Rigoletto: Paraphrase  ()
113	57		Sonata No. 4 for solo violin		1923	Sonata No. 4 for solo violin  (1923)
116	58		24 Caprices for Solo Violin	Op. 1	1802-1817	24 Caprices for Solo Violin Op. 1 (1802-1817)
134	58		Terzetto Concertante		1833	Terzetto Concertante  (1833)
119	59		Selections from Gymnopédies and Gnossiennes		1888 and 1890	Selections from Gymnopédies and Gnossiennes  (1888 and 1890)
120	60		Four on the Floor		2006	Four on the Floor  (2006)
121	61		Selected Madrigals		1594 –1611	Selected Madrigals  (1594 –1611)
126	62		Winnsboro Cotton Mill Blues		1979	Winnsboro Cotton Mill Blues  (1979)
127	63		Grande Overture	Op. 61	1820	Grande Overture Op. 61 (1820)
129	64	83	Asturias, Sevilla		1886	Asturias, Sevilla  (1886)
130	65	84	A Felicidade		1959	A Felicidade  (1959)
131	66		Jongo		1978	Jongo  (1978)
132	67	85	Oblivion		1982	Oblivion  (1982)
136	67		L’Histoire du Tango		1986	L’Histoire du Tango  (1986)
133	68		Sonatina		1999	Sonatina  (1999)
135	69		Suite del Recuerdo		1990	Suite del Recuerdo  (1990)
140	70		Sonata for solo cello		1955	Sonata for solo cello  (1955)
141	71		Three Ricercar			Three Ricercar  ()
142	72		Fancy On a Bach Air		1996	Fancy On a Bach Air  (1996)
145	73		Piano Trio No. 32 in A	Hob. XV:18	1793	Piano Trio No. 32 in A Hob. XV:18 (1793)
146	74		Rain Shadow		2012	Rain Shadow  (2012)
